sample_id,site,assay,value
P1_B1,london,rnaseq,10.4
p1-b1,london,rnaseq,11.9
p01_b01,london,rnaseq,9.7
patient1_batch1,london,rnaseq,12.2
patietn1_batch1,london,rnaseq,11.1
P2_B1,london,rnaseq,13.4
p2-b1,london,rnaseq,12.8
patient2_batch1,london,rnaseq,14.0
P3_B2,leeds,rnaseq,8.9
p3-b2,leeds,rnaseq,9.2
patient3_batch2,leeds,rnaseq,8.4
pateint3_batch2,leeds,rnaseq,9.9
patient11_batch2,leeds,rnaseq,15.1
patient111_batch2,leeds,rnaseq,7.3
CTRL_rep1_b1,leeds,rnaseq,5.2
ctrl-r1-batch1,leeds,rnaseq,5.9
control_replicate1_batch1,leeds,rnaseq,5.5
KO_rep2_B3,bristol,rnaseq,22.7
ko-r2-b3,bristol,rnaseq,21.9
knockout_replicate2_batch3,bristol,rnaseq,23.1
wt_rep2_b3,bristol,rnaseq,4.1
WT-R2-B3,bristol,rnaseq,4.4
